Timestamp,state,posX,posY,posH
007.695,toChamber,7.500,-77.750,4.712
007.768,toChamber,7.500,-77.750,4.712
007.794,toChamber,7.500,-77.750,4.712
007.817,toChamber,7.501,-77.745,4.713
007.840,toChamber,7.502,-77.734,4.713
007.863,toChamber,7.502,-77.726,4.713
007.887,toChamber,7.500,-77.693,4.712
007.910,toChamber,7.498,-77.652,4.712
007.934,toChamber,7.496,-77.597,4.711
007.957,toChamber,7.495,-77.532,4.711
007.981,toChamber,7.493,-77.453,4.712
008.004,toChamber,7.498,-77.342,4.713
008.025,toChamber,7.502,-77.213,4.714
008.047,toChamber,7.504,-77.067,4.714
008.068,toChamber,7.499,-76.892,4.714
008.089,toChamber,7.495,-76.675,4.713
008.113,toChamber,7.491,-76.443,4.712
008.139,toChamber,7.486,-76.129,4.711
008.161,toChamber,7.487,-75.749,4.711
008.181,toChamber,7.487,-75.372,4.711
008.211,toChamber,7.489,-74.988,4.711
008.234,toChamber,7.492,-74.426,4.711
008.257,toChamber,7.497,-73.922,4.712
008.279,toChamber,7.498,-73.385,4.713
008.301,toChamber,7.500,-72.821,4.713
008.322,toChamber,7.500,-72.261,4.714
008.345,toChamber,7.500,-71.702,4.714
008.373,toChamber,7.498,-71.118,4.714
008.396,toChamber,7.491,-70.360,4.712
008.417,toChamber,7.486,-69.715,4.710
008.438,toChamber,7.481,-69.108,4.709
008.459,toChamber,7.480,-68.482,4.708
008.481,toChamber,7.479,-67.888,4.707
008.503,toChamber,7.480,-67.342,4.707
008.524,toChamber,7.485,-66.769,4.708
008.543,toChamber,7.491,-66.188,4.708
008.563,toChamber,7.495,-65.670,4.709
008.583,toChamber,7.499,-65.155,4.710
008.605,toChamber,7.501,-64.634,4.710
008.626,toChamber,7.504,-64.042,4.710
008.651,toChamber,7.508,-63.413,4.711
008.673,toChamber,7.513,-62.686,4.712
008.694,toChamber,7.514,-62.063,4.712
008.729,toChamber,7.515,-61.450,4.712
008.755,toChamber,7.516,-60.407,4.713
008.785,toChamber,7.517,-59.623,4.713
008.808,toChamber,7.517,-58.723,4.713
008.830,toChamber,7.514,-58.026,4.713
008.854,toChamber,7.511,-57.248,4.712
008.879,toChamber,7.507,-56.463,4.710
008.900,toChamber,7.507,-55.606,4.710
008.920,toChamber,7.505,-54.893,4.709
008.940,toChamber,7.500,-54.218,4.709
008.961,toChamber,7.496,-53.582,4.709
008.984,toChamber,7.501,-52.860,4.709
009.005,toChamber,7.504,-52.146,4.710
009.026,toChamber,7.505,-51.503,4.709
009.046,toChamber,7.505,-50.852,4.709
009.066,toChamber,7.505,-50.221,4.708
009.087,toChamber,7.505,-49.638,4.708
009.108,toChamber,7.506,-48.970,4.707
009.131,toChamber,7.510,-48.372,4.707
009.156,toChamber,7.514,-47.694,4.707
009.176,toChamber,7.517,-47.033,4.707
009.196,toChamber,7.515,-46.518,4.706
009.216,toChamber,7.515,-46.004,4.705
009.248,toChamber,7.517,-45.493,4.705
009.270,toChamber,7.458,-44.833,4.705
009.294,toChamber,7.454,-44.434,4.704
009.316,toChamber,7.455,-44.101,4.704
009.336,toChamber,7.464,-43.858,4.706
009.356,toChamber,7.462,-43.689,4.706
009.380,toChamber,7.434,-43.660,4.699
009.407,toChamber,7.417,-43.626,4.694
009.428,toChamber,7.418,-43.647,4.695
009.447,toChamber,7.423,-43.656,4.696
009.469,toChamber,7.430,-43.669,4.698
009.488,toChamber,7.434,-43.677,4.699
009.506,toChamber,7.436,-43.674,4.699
009.524,toChamber,7.431,-43.661,4.698
009.546,toChamber,7.420,-43.647,4.695
009.568,toChamber,7.413,-43.644,4.693
009.586,toChamber,7.408,-43.633,4.692
009.606,toChamber,7.407,-43.630,4.692
009.626,toChamber,7.404,-43.631,4.691
009.649,toChamber,7.402,-43.628,4.691
009.670,toChamber,7.399,-43.624,4.690
009.690,toChamber,7.396,-43.618,4.689
009.707,toChamber,7.392,-43.610,4.688
009.726,toChamber,7.387,-43.603,4.687
009.756,toChamber,7.381,-43.596,4.685
009.773,toChamber,7.368,-43.581,4.682
009.789,toChamber,7.363,-43.574,4.680
009.807,toChamber,7.357,-43.572,4.679
009.824,toChamber,7.355,-43.568,4.678
009.838,toChamber,7.352,-43.560,4.678
009.853,toChamber,7.350,-43.558,4.677
009.868,toChamber,7.347,-43.559,4.676
009.883,toChamber,7.345,-43.557,4.676
009.899,toChamber,7.341,-43.557,4.675
009.915,toChamber,7.339,-43.552,4.674
009.930,toChamber,7.336,-43.550,4.674
009.945,toChamber,7.334,-43.548,4.673
009.961,toChamber,7.332,-43.543,4.672
009.978,toChamber,7.329,-43.538,4.672
009.995,toChamber,7.326,-43.538,4.671
010.012,toChamber,7.323,-43.534,4.670
010.030,toChamber,7.320,-43.529,4.669
010.047,toChamber,7.317,-43.525,4.669
010.062,toChamber,7.315,-43.523,4.668
010.077,toChamber,7.314,-43.519,4.668
010.091,toChamber,7.314,-43.519,4.668
010.106,toChamber,7.314,-43.519,4.668
010.121,toChamber,7.314,-43.519,4.668
010.138,toChamber,7.314,-43.519,4.668
010.153,toChamber,7.314,-43.519,4.668
010.176,toChamber,7.314,-43.519,4.668
010.191,toChamber,7.314,-43.519,4.668
010.207,toChamber,7.313,-43.520,4.668
010.222,toChamber,7.313,-43.521,4.667
010.237,toChamber,7.311,-43.521,4.667
010.261,toChamber,7.310,-43.519,4.667
010.275,toChamber,7.309,-43.515,4.666
010.290,toChamber,7.308,-43.514,4.666
010.304,toChamber,7.308,-43.514,4.666
010.318,toChamber,7.309,-43.511,4.666
010.334,toChamber,7.309,-43.510,4.666
010.348,toChamber,7.309,-43.510,4.666
010.363,toChamber,7.309,-43.510,4.666
010.378,toChamber,7.309,-43.510,4.666
010.393,toChamber,7.309,-43.511,4.666
010.410,toChamber,7.307,-43.510,4.666
010.428,toChamber,7.306,-43.506,4.666
010.443,toChamber,7.305,-43.503,4.665
010.458,toChamber,7.304,-43.501,4.665
010.473,toChamber,7.303,-43.502,4.665
010.490,toChamber,7.304,-43.501,4.665
010.504,toChamber,7.303,-43.502,4.665
010.518,toChamber,7.303,-43.502,4.665
010.537,toChamber,7.303,-43.503,4.665
010.551,toChamber,7.302,-43.501,4.664
010.574,toChamber,7.299,-43.502,4.664
011.009,toWall,7.297,-43.533,4.664
011.036,toWall,7.325,-45.279,4.685
011.060,toWall,7.361,-45.249,4.686
011.081,toWall,7.390,-45.088,4.690
011.100,toWall,7.461,-44.950,4.702
011.123,toWall,7.561,-44.782,4.723
011.141,toWall,7.775,-44.551,4.761
011.162,toWall,7.976,-44.387,4.793
011.179,toWall,8.177,-44.244,4.826
011.196,toWall,8.326,-44.262,4.842
011.214,toWall,8.485,-44.330,4.857
011.231,toWall,8.655,-44.445,4.873
011.250,toWall,8.835,-44.530,4.893
011.269,toWall,9.035,-44.637,4.913
011.286,toWall,9.270,-44.740,4.944
011.303,toWall,9.508,-44.844,4.975
011.320,toWall,9.772,-44.927,5.005
011.339,toWall,10.047,-44.963,5.037
011.359,toWall,10.368,-45.006,5.067
011.375,toWall,10.705,-45.094,5.102
011.393,toWall,10.983,-45.190,5.134
011.410,toWall,11.300,-45.312,5.166
011.429,toWall,11.642,-45.346,5.200
011.450,toWall,12.056,-45.391,5.241
011.470,toWall,12.482,-45.586,5.275
011.489,toWall,12.838,-45.798,5.310
011.515,toWall,13.158,-46.070,5.336
011.536,toWall,13.581,-46.393,5.372
011.554,toWall,13.992,-46.676,5.408
011.574,toWall,14.498,-46.749,5.437
011.593,toWall,15.121,-46.762,5.471
011.612,toWall,15.650,-46.851,5.505
011.631,toWall,16.154,-46.980,5.541
011.651,toWall,16.687,-47.090,5.581
011.671,toWall,17.218,-47.125,5.626
011.692,toWall,17.781,-47.165,5.678
011.713,toWall,18.305,-47.164,5.741
011.738,toWall,18.853,-47.212,5.799
011.763,toWall,19.477,-47.175,5.882
011.786,toWall,20.075,-47.180,5.954
011.810,toWall,20.623,-47.183,6.018
011.834,toWall,21.150,-47.165,6.084
011.857,toWall,21.728,-47.184,6.145
011.880,toWall,22.254,-47.225,6.195
011.903,toWall,22.735,-47.267,6.234
011.928,toWall,23.194,-47.327,6.266
011.951,toWall,23.713,-47.447,0.002
011.973,toWall,24.183,-47.596,0.012
011.996,toWall,24.619,-47.760,0.017
012.028,toWall,25.021,-47.964,0.021
012.052,toWall,25.608,-48.338,0.024
012.079,toWall,26.005,-48.612,0.030
012.102,toWall,26.463,-48.963,0.040
012.122,toWall,26.818,-49.290,0.054
012.143,toWall,27.139,-49.571,0.069
012.164,toWall,27.426,-49.875,0.089
012.189,toWall,27.721,-50.201,0.110
012.213,toWall,28.014,-50.569,0.144
012.235,toWall,28.310,-50.982,0.175
012.256,toWall,28.541,-51.355,0.209
012.277,toWall,28.727,-51.737,0.246
012.299,toWall,28.933,-52.100,0.281
012.321,toWall,29.139,-52.503,0.323
012.343,toWall,29.328,-52.915,0.367
012.362,toWall,29.457,-53.311,0.410
012.382,toWall,29.636,-53.669,0.446
012.401,toWall,29.815,-54.036,0.480
012.423,toWall,29.930,-54.401,0.510
012.444,toWall,30.086,-54.774,0.541
012.464,toWall,30.277,-55.147,0.566
012.483,toWall,30.427,-55.476,0.588
012.503,toWall,30.593,-55.778,0.608
012.531,toWall,30.793,-56.072,0.626
012.554,toWall,31.079,-56.464,0.654
012.577,toWall,31.343,-56.764,0.677
012.598,toWall,31.597,-57.049,0.704
012.619,toWall,31.853,-57.305,0.726
012.639,toWall,32.146,-57.546,0.751
012.659,toWall,32.406,-57.781,0.780
012.682,toWall,32.682,-57.993,0.807
012.702,toWall,32.999,-58.234,0.840
012.723,toWall,33.312,-58.455,0.869
012.745,toWall,33.635,-58.668,0.904
012.765,toWall,33.988,-58.897,0.939
012.784,toWall,34.315,-59.100,0.970
012.805,toWall,34.650,-59.295,1.000
012.824,toWall,35.002,-59.471,1.031
012.846,toWall,35.327,-59.664,1.063
012.866,toWall,35.671,-59.874,1.096
012.887,toWall,35.997,-60.084,1.128
012.907,toWall,36.358,-60.272,1.155
012.929,toWall,36.729,-60.456,1.181
012.951,toWall,37.105,-60.654,1.207
012.971,toWall,37.480,-60.863,1.232
012.991,toWall,37.828,-61.051,1.253
013.012,toWall,38.124,-61.244,1.273
013.044,toWall,38.434,-61.456,1.293
013.067,toWall,38.852,-61.733,1.318
013.091,toWall,39.125,-61.942,1.335
013.116,toWall,39.400,-62.150,1.351
013.137,toWall,39.634,-62.327,1.364
013.159,toWall,39.804,-62.485,1.376
013.183,toWall,39.971,-62.667,1.387
013.203,toWall,40.142,-62.866,1.400
013.223,toWall,40.276,-63.016,1.411
013.242,toWall,40.393,-63.162,1.422
013.261,toWall,40.492,-63.294,1.433
013.283,toWall,40.577,-63.429,1.445
013.302,toWall,40.665,-63.576,1.458
013.324,toWall,40.739,-63.712,1.470
013.345,toWall,40.828,-63.870,1.483
013.366,toWall,40.902,-64.002,1.495
013.387,toWall,40.990,-64.109,1.503
013.410,toWall,41.060,-64.207,1.510
013.437,toWall,41.143,-64.297,1.515
013.461,toWall,41.242,-64.384,1.519
013.487,toWall,41.325,-64.444,1.521
013.507,toWall,41.404,-64.492,1.522
013.527,toWall,41.455,-64.525,1.522
013.554,toWall,41.498,-64.544,1.522
013.574,toWall,41.529,-64.553,1.523
013.598,toWall,41.539,-64.557,1.523
013.621,toWall,41.538,-64.557,1.523
013.641,toWall,41.540,-64.556,1.524
013.661,toWall,41.551,-64.556,1.526
013.683,toWall,41.567,-64.555,1.529
013.705,toWall,41.592,-64.562,1.531
013.726,toWall,41.620,-64.566,1.534
013.746,toWall,41.649,-64.566,1.537
013.772,toWall,41.676,-64.575,1.540
013.792,toWall,41.706,-64.578,1.543
013.812,toWall,41.724,-64.583,1.545
013.831,toWall,41.743,-64.585,1.547
013.852,toWall,41.755,-64.586,1.548
013.872,toWall,41.766,-64.588,1.548
013.890,toWall,41.771,-64.586,1.549
013.910,toWall,41.774,-64.587,1.549
013.928,toWall,41.774,-64.587,1.549
013.948,toWall,41.775,-64.586,1.549
013.968,toWall,41.775,-64.586,1.549
013.987,toWall,41.778,-64.586,1.549
014.008,toWall,41.778,-64.587,1.549
014.027,toWall,41.778,-64.587,1.549
014.058,toWall,41.778,-64.587,1.549
014.079,toWall,41.781,-64.587,1.549
014.100,toWall,41.781,-64.587,1.549
014.115,toWall,41.784,-64.587,1.549
014.136,toWall,41.785,-64.586,1.548
014.332,toChamber,41.787,-64.583,1.548
014.355,toChamber,41.782,-64.582,1.548
014.375,toChamber,41.779,-64.581,1.549
014.398,toChamber,41.771,-64.555,1.554
014.419,toChamber,41.747,-64.507,1.565
014.440,toChamber,41.687,-64.486,1.584
014.463,toChamber,41.608,-64.452,1.610
014.485,toChamber,41.504,-64.402,1.641
014.503,toChamber,41.383,-64.370,1.675
014.522,toChamber,41.253,-64.318,1.707
014.540,toChamber,41.113,-64.176,1.734
014.570,toChamber,40.953,-64.087,1.764
014.589,toChamber,40.722,-63.939,1.807
014.609,toChamber,40.577,-63.812,1.831
014.627,toChamber,40.410,-63.691,1.861
014.648,toChamber,40.270,-63.547,1.884
014.668,toChamber,40.087,-63.332,1.909
014.687,toChamber,39.905,-63.166,1.936
014.708,toChamber,39.738,-62.969,1.956
014.729,toChamber,39.542,-62.759,1.981
014.749,toChamber,39.328,-62.514,2.005
014.771,toChamber,39.119,-62.261,2.026
014.793,toChamber,38.872,-61.973,2.048
014.814,toChamber,38.594,-61.650,2.072
014.836,toChamber,38.314,-61.342,2.096
014.854,toChamber,38.033,-61.029,2.116
014.872,toChamber,37.784,-60.759,2.135
014.889,toChamber,37.516,-60.508,2.158
014.908,toChamber,37.254,-60.266,2.179
014.926,toChamber,36.960,-60.001,2.200
014.948,toChamber,36.635,-59.731,2.227
014.968,toChamber,36.231,-59.405,2.258
014.990,toChamber,35.837,-59.109,2.288
015.008,toChamber,35.385,-58.798,2.324
015.027,toChamber,34.996,-58.577,2.358
015.046,toChamber,34.570,-58.324,2.388
