Timestamp,state,posX,posY,posH
002.264,toBasket,-42.000,-64.500,0.000
002.293,toBasket,-42.000,-64.500,0.000
002.324,toBasket,-42.012,-64.489,0.002
002.357,toBasket,-42.049,-64.467,0.008
002.382,toBasket,-42.085,-64.445,0.013
002.408,toBasket,-42.126,-64.423,0.018
002.435,toBasket,-42.187,-64.396,0.025
002.459,toBasket,-42.247,-64.367,0.033
002.484,toBasket,-42.321,-64.329,0.043
002.508,toBasket,-42.420,-64.283,0.056
002.537,toBasket,-42.544,-64.226,0.073
002.563,toBasket,-42.686,-64.166,0.090
002.589,toBasket,-42.878,-64.094,0.113
002.613,toBasket,-43.093,-64.030,0.136
002.636,toBasket,-43.324,-63.953,0.161
002.660,toBasket,-43.566,-63.880,0.188
002.682,toBasket,-43.797,-63.795,0.213
002.705,toBasket,-44.021,-63.704,0.237
002.725,toBasket,-44.270,-63.617,0.259
002.751,toBasket,-44.534,-63.532,0.278
002.776,toBasket,-44.902,-63.433,0.297
002.797,toBasket,-45.334,-63.345,0.317
002.818,toBasket,-45.671,-63.267,0.334
002.841,toBasket,-46.017,-63.164,0.354
002.863,toBasket,-46.378,-63.000,0.375
002.885,toBasket,-46.718,-62.820,0.397
002.907,toBasket,-47.059,-62.608,0.420
002.929,toBasket,-47.422,-62.359,0.441
002.950,toBasket,-47.788,-62.099,0.460
002.973,toBasket,-48.174,-61.875,0.476
002.993,toBasket,-48.607,-61.581,0.490
003.014,toBasket,-49.003,-61.335,0.502
003.036,toBasket,-49.419,-61.063,0.515
003.060,toBasket,-49.890,-60.724,0.530
003.092,toBasket,-50.400,-60.379,0.545
003.112,toBasket,-51.161,-59.862,0.567
003.132,toBasket,-51.638,-59.558,0.582
003.153,toBasket,-52.138,-59.243,0.600
003.175,toBasket,-52.639,-58.912,0.617
003.195,toBasket,-53.179,-58.569,0.636
003.218,toBasket,-53.697,-58.254,0.656
003.240,toBasket,-54.225,-57.959,0.677
003.267,toBasket,-54.705,-57.670,0.697
003.293,toBasket,-55.296,-57.374,0.727
003.314,toBasket,-55.839,-57.148,0.753
